Test File,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
sudoku_9x9_7.in,0.0,30141,9,3349.0,2706.0,2459,7238,1582.7,cudaMemset
sudoku_9x9_7.in,0.0,3693,1,3693.0,3693.0,3693,3693,0.0,cuModuleGetLoadingMode
sudoku_9x9_7.in,0.0,2399,16,149.9,116.0,89,531,121.0,cuKernelGetName
sudoku_9x9_7.in,0.0,1146,3,382.0,366.0,315,465,76.3,cuLibraryGetKernel
sudoku_9x9_8.in,100.0,59842,1,59842.0,59842.0,59842,59842,0.0,PushPop,:build_reverse_tables
sudoku_9x9_8.in,51.5,28799,8,3599.9,3584.0,3008,4096,332.6,"void deduce_kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_9x9_8.in,43.5,24320,7,3474.3,2944.0,2720,6528,1355.2,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
sudoku_9x9_8.in,5.0,2816,1,2816.0,2816.0,2816,2816,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_9x9_8.in,0.136,12,0.011,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_8.in,0.003,17,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_8.in,0.000,9,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_8.in,99.4,159914298,19,8416542.0,2496.0,2058,159862146,36674226.9,cudaMalloc
sudoku_9x9_8.in,0.2,302448,16,18903.0,3924.0,3225,217511,53168.9,cudaLaunchKernel
sudoku_9x9_8.in,0.2,286572,29,9881.8,8647.0,3760,30780,5844.6,cudaMemcpy
sudoku_9x9_8.in,0.1,145781,19,7672.7,2249.0,1773,100394,22478.9,cudaFree
sudoku_9x9_8.in,0.1,97858,16,6116.1,5881.0,4936,11007,1604.7,cudaDeviceSynchronize
sudoku_9x9_8.in,0.0,70526,1,70526.0,70526.0,70526,70526,0.0,cuLibraryLoadData
sudoku_9x9_8.in,0.0,30809,9,3423.2,2700.0,2484,7277,1614.0,cudaMemset
sudoku_9x9_8.in,0.0,4923,1,4923.0,4923.0,4923,4923,0.0,cuModuleGetLoadingMode
sudoku_9x9_8.in,0.0,2269,16,141.8,110.0,90,491,104.6,cuKernelGetName
sudoku_9x9_8.in,0.0,1081,3,360.3,340.0,318,423,55.4,cuLibraryGetKernel
